	fullname	id	likes	replies	retweets	text	timestamp	url	user	sentiment score
10	Hubert Temba Creative Genius	938558665828831232	0	0	0	@SenFranken, Please don't resign. The stakes are too high given what we're facing now as a country, to resign. The GOP Tax Scam and Trump are is a bigger problems. Not all women are believable. E.g. Sarah Palin, Ann Coulter, Sarah Sanders, Kellyanne Conway etc. cc @SenSchumerhttps://twitter.com/senfranken/status/938546524283461632 …	2017-12-06 23:59:58	/HubertTembaMSc/status/938558665828831233	HubertTembaMSc	0.22
11	SmartyPants	938558665753206784	0	0	0	not quite yet... until the storm rains on Trump men think they can slide by too. think of the dozen +/- who are caught... there's probably millions more who know they won't. And another million who HOPE them won't. Trump has to go to court and let's see the truth.	2017-12-06 23:59:58	/goldendebbie/status/938558665753206784	goldendebbie	0.5
12	Crow	938558665308610560	0	0	0	It's not just Trump.  The Republican party just handed Moore 170K.  http://www.al.com/news/index.ssf/2017/12/republican_party_gives_170000.html …	2017-12-06 23:59:58	/sistercrow/status/938558665308610560	sistercrow	0.0
13	Eric Muirhead	938558664402542592	0	0	0	It doesn't matter that it isn't comparable it was bad behavior, and if he stays, the Republicans will point at him as Democratic double standard when we call for Roy Moore to be removed or when we use Trump's predatory behavior as reason for impeachment. It sucks but he has to go	2017-12-06 23:59:57	/emuirhead/status/938558664402542592	emuirhead	-0.24999999999999994
14	The Hiking Guy	938558664297799680	0	0	0	Dems blast Trump for Jerusalem decision despite past support http://www.foxnews.com/politics/2017/12/06/dems-blast-trump-for-jerusalem-decision-despite-past-support.html … via the @FoxNews Android app	2017-12-06 23:59:57	/The_Hiking_Guy/status/938558664297799681	The_Hiking_Guy	-0.25
15	Bruce P. Knight	938558663479975936	60	12	41	Congressional Dems are calling on Al Franken to resign, but are afraid to call for Trump's impeachment. And we wonder why republicans keep cleaning our clocks. Franken will be gone next and Roy Moore will be voting to destroy America. Pathetic and Spineless.	2017-12-06 23:59:57	/brucepknight/status/938558663479975938	brucepknight	-0.45
16	Kimberly A. Woodard	938558663366729728	2	1	0	"Because down in the swamp, Donald “Grab ‘Em By The Pussy” Trump is still in office ***and has endorsed*** Roy “Pull ‘Em Out Of Trig Class and Move On ‘Em In Court” Moore. 

Furthermore, Donald Trump is holding A CAMPAIGN RALLY for pedophile Roy Moore.

#NotNormal #ALSen #alpolhttps://twitter.com/beingkimmietoo/status/938533527062183936 …"	2017-12-06 23:59:57	/BeingKimmieToo/status/938558663366729728	BeingKimmieToo	-0.15555555555555559
17	But Her Emails!	909567644076068864	0	0	0	But her emails!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! #ButHerEmails #Comey #Clinton #Trump	2017-09-17 23:59:59	/butheremailsbot/status/909567644076068864	butheremailsbot	0.0
18	Carla Chamorro	909567641244831744	0	0	1	"Trump mocks ‘Rocket Man’ Kim Jong-un as advisers issue warnings

 https://youtu.be/uF7FFov5FQs "	2017-09-17 23:59:59	/CarlaChamorros/status/909567641244831745	CarlaChamorros	0.0
19	Billie Furdyna	909567640561225728	0	0	0	Trump Retweeted A Video From An Anti-Semitic Account Showing Him Hitting Hillary Clinton With A Golf Ball https://www.buzzfeed.com/aliciamelvillesmith/trump-golf-ball-rt?utm_term=.imWMpaAEya#.msV0rBpMbB …	2017-09-17 23:59:59	/BFurdyna/status/909567640561225729	BFurdyna	0.0
20	Jacqueline Susann	909567639244111872	0	0	0	"Retweeted Donald J. Trump (@realDonaldTrump):

We have made more progress in the last nine months against ISIS... http://fb.me/CF2zq2dG "	2017-09-17 23:59:58	/JacquelinSusann/status/909567639244111872	JacquelinSusann	0.25
21	David Hernandez	909567639126757376	1	0	1	Mayweather Calls Out Trump Hysteria #TMT #MAGA #TruthHurts #@realDonaldTrump WESTANDUNITED#DrainIthttps://www.youtube.com/watch?v=6731LIO2LKI&feature=share …	2017-09-17 23:59:58	/masenkrock/status/909567639126757376	masenkrock	0.0
22	Jim Farrell	909567638606696448	4	1	0	I'm shocked I told him his knee pads for Trump was worn out. Never got blocked.	2017-09-17 23:59:58	/_seamusfarrell/status/909567638606696448	_seamusfarrell	-0.7
23	Janet Patti Muller	909567638556131328	1	0	0	and down to less than 5 brain cells from that union.	2017-09-17 23:59:58	/runPattirun/status/909567638556131328	runPattirun	-0.16111111111111112
24	Barbara_I	909567636878458880	0	0	0	Waiting for the opening of the Emmy broadcast because I have a feeling that Stephen Colbert is going to stand up to that pussy Trump.  #Yay	2017-09-17 23:59:58	/Barbara102006/status/909567636878458880	Barbara102006	0.0
25	Stone Cold	909567635007823872	86	7	40	Trump tweeting himself hitting Hillary with a golf ball making her trip is not funny normal or defensible Ana Navarro pic.twitter.com/Um53s6qDzd	2017-09-17 23:59:57	/stonecold2050/status/909567635007823872	stonecold2050	0.012499999999999997
26	POTUS Watch	909567634710155264	0	0	0	As North Korea threat looms, Trump to address world leaders at U.N. #Trump #news #usa #twitter #cnn #magahttp://www.reuters.com/article/us-un-assembly/as-north-korea-threat-looms-trump-to-address-world-leaders-at-u-n-idUSKCN1BS0WB …	2017-09-17 23:59:57	/POTUSWatch2016/status/909567634710155265	POTUSWatch2016	0.0
27	Verdad 27-N	909567633485438976	0	0	0	¡SE VIENEN MÁS AMENAZAS! Discurso de Donald Trump ante la ONU promete “bofetadas” contra Venezuela #Lechuguinoshttp://ow.ly/6QGp30fdIrs 	2017-09-17 23:59:57	/Verdad27N/status/909567633485438977	Verdad27N	0.0
28	Pablo Arias  🐝	909567633091067904	0	0	0	Quien putas quiere ver a Colbert haciendo los mismos chistes de siempre sobre Trump 	2017-09-17 23:59:57	/ariasPablo94/status/909567633091067904	ariasPablo94	0.0
29	Chris Donovan	909567629781856256	2	0	1	"Trump's past tweets on the #Emmys 
“I should have many Emmys""
“The Emmys have no credibility”
“The Emmys are all politics”https://twitter.com/chrisdonovan/status/909567343495442433 …"	2017-09-17 23:59:56	/chrisdonovan/status/909567629781856256	chrisdonovan	0.125
30	Danger Close USA	909567629727272960	0	0	0	@SheriffClarke A real cowboy knows the wolf before the sheep call it out. You're no real cowboy.. Trump is the wolf, but you sir, the sheep.	2017-09-17 23:59:56	/DangerClose_USA/status/909567629727272960	DangerClose_USA	0.05
31	Jessica Dawson	909567629563535360	1	1	0	#ASKISSATWAIMZ make a song of Donald trump	2017-09-17 23:59:56	/jmxsd/status/909567629563535360	jmxsd	0.0
32	ghosts of blackness	909567625847607296	2	0	0	"What the f*ck would Donald Trump know about the Constitution?
All he's done w/ it so far is use it as toilet paper.

#RemoveTrump and #MAGA"	2017-09-17 23:59:55	/death_to_ether/status/909567625847607296	death_to_ether	0.03333333333333334
